store,offer,description,price
2172,Any Large EPIC STUFFED CRUST, Any large EPIC STUFFED Crust with up to 5 toppings or Specialty pizza ,$20.99 
2172,Cheesy Calzone Epic Stuffed Crust Pizza," We know how to hand stuff our crust with the best flavor combos. Experience calzone flavors like never before, this pizza is made with a blend of mozzarella and garlic herb ricotta stuffed into the crust. Comes with your choice of 1 topping. ",$14.99 
2174,Garlic Epic Stuffed Crust: A pizza inspired by you,"Garlic sauce fans, you inspired us! We transformed your love for our garlic sauce into our pizza. Enjoy a 1-topping Garlic Epic Stuffed Crust pizza with garlicky goodness inside the cheesy crust, drizzled onto it, and served on the side.",$13.99 
2174,Calzone Papa Bites," Indulge in our Calzone Papa Bites. Packed with a blend of mozzarella and garlic herb ricotta, pepperoni, Italian sausage, and green peppers inside our fresh original dough. Served with original pizza sauce on the side for even more calzone flavor. ",$4.99 
2174,Papa Pairings, Craving what you see? Our newest addition to your Papa Pairings possibilities: Wings! Get any of these and more delectable Papa Johns favorites for just $6.99 each when you pair two or more. ,$6.99 
2174,Large 1 Topping Pizza for $9.99  Carryout Only!, Large 1 Topping Pizza for $9.99  Carryout Only! ,$9.99 
2174,Large 1-Topping Pizza," Large 1 Topping Pizza for only 12.99, Delivery Only. ",$12.99 
2174,Carryout Offer - Large 5-topping or specialty, Large Specialty or up to 5 topping pizza ,$14.99 
2174,Epic Stuffed Crust 1-Topping Pizza, Epic Stuff Crust 1-Topping Pizza for ONLY $15.99 ,$15.99 
2174,"Any 10"" Only $10"," Any 10"" original crust specialty or up to 5-topping pizza ONLY $10 ",$10 
2174,Any Large Pizza - Up to 5 Toppings or Specialty, Enjoy your favorite specialty or any 5-topping pizza on our large original or thin crust pizza for only $18.99! ,$18.99 
2174,Small Deal, Small Three Topping Pizza ,$9.99 
2174,Any Medium Specialty Or 5-Topping, Any Medium Specialty or 5-Topping Pizza ,$13.99 
2174, Extra Large 2-topping Pizza, Extra Large Two Topping Pizza ,$17.99 
2174,2 Large 2-Topping Pizzas, Two Large 2 Topping Pizzas ,$25.98 
2174,NY-Style 1-Topping Pizza, New York Style 1-Topping Pizza ,$15.99 
2174,Family Special, Any large specialty or 5-topping pizza and a large 2-topping pizza ,$29.99 
2174,Any Large EPIC STUFFED CRUST, Any large EPIC STUFFED Crust with up to 5 toppings or Specialty pizza ,$20.99 
2174,Cheesy Calzone Epic Stuffed Crust Pizza," We know how to hand stuff our crust with the best flavor combos. Experience calzone flavors like never before, this pizza is made with a blend of mozzarella and garlic herb ricotta stuffed into the crust. Comes with your choice of 1 topping. ",$14.99 
2236,Garlic Epic Stuffed Crust: A pizza inspired by you,"Garlic sauce fans, you inspired us! We transformed your love for our garlic sauce into our pizza. Enjoy a 1-topping Garlic Epic Stuffed Crust pizza with garlicky goodness inside the cheesy crust, drizzled onto it, and served on the side.",$13.99 
2236,Calzone Papa Bites," Indulge in our Calzone Papa Bites. Packed with a blend of mozzarella and garlic herb ricotta, pepperoni, Italian sausage, and green peppers inside our fresh original dough. Served with original pizza sauce on the side for even more calzone flavor. ",$4.99 
2236,Papa Pairings, Craving what you see? Our newest addition to your Papa Pairings possibilities: Wings! Get any of these and more delectable Papa Johns favorites for just $6.99 each when you pair two or more. ,$6.99 
2236,Large 1 Topping Pizza for $9.99  Carryout Only!, Large 1 Topping Pizza for $9.99  Carryout Only! ,$9.99 
2236,Large 1-Topping Pizza," Large 1 Topping Pizza for only 12.99, Delivery Only. ",$12.99 
2236,Carryout Offer  Large Specialty or 5-Topping Pizza, Large Specialty or up to 5 topping pizza ,$14.99 
2236,Epic Stuffed Crust 1-Topping Pizza, Epic Stuff Crust 1-Topping Pizza for ONLY $15.99 ,$15.99 
2236,"Any 10"" Only $10"," Any 10"" original crust specialty or up to 5-topping pizza ONLY $10 ",$10 
2236,Any Large Pizza - Up to 5 Toppings or Specialty, Large Specialty or up to 5 toppings $18.99 ,$18.99 
2236,Small Deal, Small Three Topping Pizza ,$9.99 
2236,Any Medium Specialty Or 5-Topping, Any Medium Specialty or 5-Topping Pizza ,$13.99 
2236, Extra Large 2-topping Pizza, Extra Large Two Topping Pizza ,$17.99 
2236,NY-Style 1-Topping Pizza, New York Style 1-Topping Pizza ,$15.99 
2236,Family Special, Any large specialty or 5-topping pizza and a large 2-topping pizza ,$29.99 
2236,Stuffed Crust Specialty or up to 5 Topping, Large Stuffed Crust Specialty or up to 5 Topping Pizza only $20.99 ,$20.99 
2236,Cheesy Calzone Epic Stuffed Crust Pizza," We know how to hand stuff our crust with the best flavor combos. Experience calzone flavors like never before, this pizza is made with a blend of mozzarella and garlic herb ricotta stuffed into the crust. Comes with your choice of 1 topping. ",$14.99 
2236,Papa's Double Take, Two Large 2 Topping Pizzas only $12.99 each ,$25.98 
2272,Garlic Epic Stuffed Crust: A pizza inspired by you,"Garlic sauce fans, you inspired us! We transformed your love for our garlic sauce into our pizza. Enjoy a 1-topping Garlic Epic Stuffed Crust pizza with garlicky goodness inside the cheesy crust, drizzled onto it, and served on the side.",$13.99 
2272,Calzone Papa Bites," Indulge in our Calzone Papa Bites. Packed with a blend of mozzarella and garlic herb ricotta, pepperoni, Italian sausage, and green peppers inside our fresh original dough. Served with original pizza sauce on the side for even more calzone flavor. ",$4.99 
2272,Papa Pairings, Craving what you see? Our newest addition to your Papa Pairings possibilities: Wings! Get any of these and more delectable Papa Johns favorites for just $6.99 each when you pair two or more. ,$6.99 
2272,Large 1 Topping Pizza for $9.99  Carryout Only!, Large 1 Topping Pizza for $9.99  Carryout Only! ,$9.99 
2272,Large 1-Topping Pizza," Large 1 Topping Pizza for only 12.99, Delivery Only. ",$12.99 
2272,Carryout Offer - Large 5-topping or specialty, Large Specialty or up to 5 topping pizza ,$14.99 
2272,Epic Stuffed Crust 1-Topping Pizza, Epic Stuff Crust 1-Topping Pizza for ONLY $15.99 ,$15.99 
2272,"Any 10"" Only $10"," Any 10"" original crust specialty or up to 5-topping pizza ONLY $10 ",$10 
2272,Any Large Pizza - Up to 5 Toppings or Specialty, Enjoy your favorite specialty or any 5-topping pizza on our large original or thin crust pizza for only $18.99! ,$18.99 
2272,Small Deal, Small Three Topping Pizza ,$9.99 
2272,Any Medium Specialty Or 5-Topping, Any Medium Specialty or 5-Topping Pizza ,$13.99 
2272, Extra Large 2-topping Pizza, Extra Large Two Topping Pizza ,$17.99 
2272,2 Large 2-Topping Pizzas, Two Large 2 Topping Pizzas ,$25.98 
2272,NY-Style 1-Topping Pizza, New York Style 1-Topping Pizza ,$15.99 
2272,Family Special, Any large specialty or 5-topping pizza and a large 2-topping pizza ,$29.99 
2272,Any Large EPIC STUFFED CRUST, Any large EPIC STUFFED Crust with up to 5 toppings or Specialty pizza ,$20.99 
2272,Cheesy Calzone Epic Stuffed Crust Pizza," We know how to hand stuff our crust with the best flavor combos. Experience calzone flavors like never before, this pizza is made with a blend of mozzarella and garlic herb ricotta stuffed into the crust. Comes with your choice of 1 topping. ",$14.99 
2457,Garlic Epic Stuffed Crust: A pizza inspired by you,"Garlic sauce fans, you inspired us! We transformed your love for our garlic sauce into our pizza. Enjoy a 1-topping Garlic Epic Stuffed Crust pizza with garlicky goodness inside the cheesy crust, drizzled onto it, and served on the side.",$13.99 
2457,Calzone Papa Bites," Indulge in our Calzone Papa Bites. Packed with a blend of mozzarella and garlic herb ricotta, pepperoni, Italian sausage, and green peppers inside our fresh original dough. Served with original pizza sauce on the side for even more calzone flavor. ",$4.99 
2457,Papa Pairings, Craving what you see? Our newest addition to your Papa Pairings possibilities: Wings! Get any of these and more delectable Papa Johns favorites for just $6.99 each when you pair two or more. ,$6.99 
2457,Large 1 Topping Pizza for $9.99  Carryout Only!, Large 1 Topping Pizza for $9.99  Carryout Only! ,$9.99 
2457,Large 1-Topping Pizza," Large 1 Topping Pizza for only 12.99, Delivery Only. ",$12.99 
2457,Carryout Offer - Large 5-topping or specialty, Large Specialty or up to 5 topping pizza ,$14.99 
2457,Epic Stuffed Crust 1-Topping Pizza, Epic Stuff Crust 1-Topping Pizza for ONLY $15.99 ,$15.99 
2457,"Any 10"" Only $10"," Any 10"" original crust specialty or up to 5-topping pizza ONLY $10 ",$10 
2457,Any Large Pizza - Up to 5 Toppings or Specialty, Enjoy your favorite specialty or any 5-topping pizza on our large original or thin crust pizza for only $18.99! ,$18.99 
2457,Small Deal, Small Three Topping Pizza ,$9.99 
2457,Any Medium Specialty Or 5-Topping, Any Medium Specialty or 5-Topping Pizza ,$13.99 
2457, Extra Large 2-topping Pizza, Extra Large Two Topping Pizza ,$17.99 
2457,2 Large 2-Topping Pizzas, Two Large 2 Topping Pizzas ,$25.98 
2457,NY-Style 1-Topping Pizza, New York Style 1-Topping Pizza ,$15.99 
2457,Family Special, Any large specialty or 5-topping pizza and a large 2-topping pizza ,$29.99 
2457,Any Large EPIC STUFFED CRUST, Any large EPIC STUFFED Crust with up to 5 toppings or Specialty pizza ,$20.99 
2457,Cheesy Calzone Epic Stuffed Crust Pizza," We know how to hand stuff our crust with the best flavor combos. Experience calzone flavors like never before, this pizza is made with a blend of mozzarella and garlic herb ricotta stuffed into the crust. Comes with your choice of 1 topping. ",$14.99 
2549,Garlic Epic Stuffed Crust: A pizza inspired by you,"Garlic sauce fans, you inspired us! We transformed your love for our garlic sauce into our pizza. Enjoy a 1-topping Garlic Epic Stuffed Crust pizza with garlicky goodness inside the cheesy crust, drizzled onto it, and served on the side.",$13.99 
2549,Calzone Papa Bites," Indulge in our Calzone Papa Bites. Packed with a blend of mozzarella and garlic herb ricotta, pepperoni, Italian sausage, and green peppers inside our fresh original dough. Served with original pizza sauce on the side for even more calzone flavor. ",$4.99 
2549,Papa Pairings, Craving what you see? Our newest addition to your Papa Pairings possibilities: Wings! Get any of these and more delectable Papa Johns favorites for just $6.99 each when you pair two or more. ,$6.99 
2549,Large 1 Topping Pizza for $9.99  Carryout Only!, Large 1 Topping Pizza for $9.99  Carryout Only! ,$9.99 
2549,Large 1-Topping Pizza," Large 1 Topping Pizza for only 12.99, Delivery Only. ",$12.99 
2549,Carryout Offer - Large 5-topping or specialty, Large Specialty or up to 5 topping pizza ,$14.99 
2549,Epic Stuffed Crust 1-Topping Pizza, Epic Stuff Crust 1-Topping Pizza for ONLY $15.99 ,$15.99 
2549,"Any 10"" Only $10"," Any 10"" original crust specialty or up to 5-topping pizza ONLY $10 ",$10 
2549,Any Large Pizza - Up to 5 Toppings or Specialty, Enjoy your favorite specialty or any 5-topping pizza on our large original or thin crust pizza for only $18.99! ,$18.99 
2549,Small Deal, Small Three Topping Pizza ,$9.99 
2549,Any Medium Specialty Or 5-Topping, Any Medium Specialty or 5-Topping Pizza ,$13.99 
2549, Extra Large 2-topping Pizza, Extra Large Two Topping Pizza ,$17.99 
2549,2 Large 2-Topping Pizzas, Two Large 2 Topping Pizzas ,$25.98 
2549,NY-Style 1-Topping Pizza, New York Style 1-Topping Pizza ,$15.99 
2549,Family Special, Any large specialty or 5-topping pizza and a large 2-topping pizza ,$29.99 
2549,Any Large EPIC STUFFED CRUST, Any large EPIC STUFFED Crust with up to 5 toppings or Specialty pizza ,$20.99 
2549,Cheesy Calzone Epic Stuffed Crust Pizza," We know how to hand stuff our crust with the best flavor combos. Experience calzone flavors like never before, this pizza is made with a blend of mozzarella and garlic herb ricotta stuffed into the crust. Comes with your choice of 1 topping. ",$14.99 
2603,Garlic Epic Stuffed Crust: A pizza inspired by you,"Garlic sauce fans, you inspired us! We transformed your love for our garlic sauce into our pizza. Enjoy a 1-topping Garlic Epic Stuffed Crust pizza with garlicky goodness inside the cheesy crust, drizzled onto it, and served on the side.",$13.99 
2603,Calzone Papa Bites," Indulge in our Calzone Papa Bites. Packed with a blend of mozzarella and garlic herb ricotta, pepperoni, Italian sausage, and green peppers inside our fresh original dough. Served with original pizza sauce on the side for even more calzone flavor. ",$4.99 
2603,Papa Pairings, Craving what you see? Our newest addition to your Papa Pairings possibilities: Wings! Get any of these and more delectable Papa Johns favorites for just $6.99 each when you pair two or more. ,$6.99 
