store,offer,description,price
2603,Large 1 Topping Pizza for $9.99  Carryout Only!, Large 1 Topping Pizza for $9.99  Carryout Only! ,$9.99 
2603,Large 1-Topping Pizza," Large 1 Topping Pizza for only 12.99, Delivery Only. ",$12.99 
2603,Carryout Offer - Large 5-topping or specialty, Large Specialty or up to 5 topping pizza ,$14.99 
2603,Epic Stuffed Crust 1-Topping Pizza, Epic Stuff Crust 1-Topping Pizza for ONLY $15.99 ,$15.99 
2603,"Any 10"" Only $10"," Any 10"" original crust specialty or up to 5-topping pizza ONLY $10 ",$10 
2603,Any Large Pizza - Up to 5 Toppings or Specialty, Enjoy your favorite specialty or any 5-topping pizza on our large original or thin crust pizza for only $18.99! ,$18.99 
2603,Small Deal, Small Three Topping Pizza ,$9.99 
2603,Any Medium Specialty Or 5-Topping, Any Medium Specialty or 5-Topping Pizza ,$13.99 
2603, Extra Large 2-topping Pizza, Extra Large Two Topping Pizza ,$17.99 
2603,2 Large 2-Topping Pizzas, Two Large 2 Topping Pizzas ,$25.98 
2603,NY-Style 1-Topping Pizza, New York Style 1-Topping Pizza ,$15.99 
2603,Family Special, Any large specialty or 5-topping pizza and a large 2-topping pizza ,$29.99 
2603,Any Large EPIC STUFFED CRUST, Any large EPIC STUFFED Crust with up to 5 toppings or Specialty pizza ,$20.99 
2603,Cheesy Calzone Epic Stuffed Crust Pizza," We know how to hand stuff our crust with the best flavor combos. Experience calzone flavors like never before, this pizza is made with a blend of mozzarella and garlic herb ricotta stuffed into the crust. Comes with your choice of 1 topping. ",$14.99 
2953,Garlic Epic Stuffed Crust: A pizza inspired by you,"Garlic sauce fans, you inspired us! We transformed your love for our garlic sauce into our pizza. Enjoy a 1-topping Garlic Epic Stuffed Crust pizza with garlicky goodness inside the cheesy crust, drizzled onto it, and served on the side.",$13.99 
2953,Calzone Papa Bites," Indulge in our Calzone Papa Bites. Packed with a blend of mozzarella and garlic herb ricotta, pepperoni, Italian sausage, and green peppers inside our fresh original dough. Served with original pizza sauce on the side for even more calzone flavor. ",$4.99 
2953,Papa Pairings, Craving what you see? Our newest addition to your Papa Pairings possibilities: Wings! Get any of these and more delectable Papa Johns favorites for just $6.99 each when you pair two or more. ,$6.99 
2953,Large 1 Topping Pizza for $9.99  Carryout Only!, Large 1 Topping Pizza for $9.99  Carryout Only! ,$9.99 
2953,Large 1-Topping Pizza," Large 1 Topping Pizza for only 12.99, Delivery Only. ",$12.99 
2953,Carryout Offer  Large Specialty or 5-Topping Pizza, Large Specialty or up to 5 topping pizza ,$14.99 
2953,Epic Stuffed Crust 1-Topping Pizza, Epic Stuff Crust 1-Topping Pizza for ONLY $15.99 ,$15.99 
2953,"Any 10"" Only $10"," Any 10"" original crust specialty or up to 5-topping pizza ONLY $10 ",$10 
2953,Any Large Pizza - Up to 5 Toppings or Specialty, Large Specialty or up to 5 toppings $18.99 ,$18.99 
2953,Small Deal, Small Three Topping Pizza ,$9.99 
2953,Any Medium Specialty Or 5-Topping, Any Medium Specialty or 5-Topping Pizza ,$13.99 
2953, Extra Large 2-topping Pizza, Extra Large Two Topping Pizza ,$17.99 
2953,NY-Style 1-Topping Pizza, New York Style 1-Topping Pizza ,$15.99 
2953,Family Special, Any large specialty or 5-topping pizza and a large 2-topping pizza ,$29.99 
2953,Stuffed Crust Specialty or up to 5 Topping, Large Stuffed Crust Specialty or up to 5 Topping Pizza only $20.99 ,$20.99 
2953,Cheesy Calzone Epic Stuffed Crust Pizza," We know how to hand stuff our crust with the best flavor combos. Experience calzone flavors like never before, this pizza is made with a blend of mozzarella and garlic herb ricotta stuffed into the crust. Comes with your choice of 1 topping. ",$14.99 
2953,Papa's Double Take, Two Large 2 Topping Pizzas only $12.99 each ,$25.98 
3498,Garlic Epic Stuffed Crust: A pizza inspired by you,"Garlic sauce fans, you inspired us! We transformed your love for our garlic sauce into our pizza. Enjoy a 1-topping Garlic Epic Stuffed Crust pizza with garlicky goodness inside the cheesy crust, drizzled onto it, and served on the side.",$13.99 
3498,Calzone Papa Bites," Indulge in our Calzone Papa Bites. Packed with a blend of mozzarella and garlic herb ricotta, pepperoni, Italian sausage, and green peppers inside our fresh original dough. Served with original pizza sauce on the side for even more calzone flavor. ",$4.99 
3498,Papa Pairings, Craving what you see? Our newest addition to your Papa Pairings possibilities: Wings! Get any of these and more delectable Papa Johns favorites for just $6.99 each when you pair two or more. ,$6.99 
3498,Large 1 Topping Pizza for $9.99  Carryout Only!, Large 1 Topping Pizza for $9.99  Carryout Only! ,$9.99 
3498,Large 1-Topping Pizza," Large 1 Topping Pizza for only 12.99, Delivery Only. ",$12.99 
3498,Carryout Offer  Large Specialty or 5-Topping Pizza, Large Specialty or up to 5 topping pizza ,$14.99 
3498,Epic Stuffed Crust 1-Topping Pizza, Epic Stuff Crust 1-Topping Pizza for ONLY $15.99 ,$15.99 
3498,"Any 10"" Only $10"," Any 10"" original crust specialty or up to 5-topping pizza ONLY $10 ",$10 
3498,Any Large Pizza - Up to 5 Toppings or Specialty, Large Specialty or up to 5 toppings $18.99 ,$18.99 
3498,Small Deal, Small Three Topping Pizza ,$9.99 
3498,Any Medium Specialty Or 5-Topping, Any Medium Specialty or 5-Topping Pizza ,$13.99 
3498, Extra Large 2-topping Pizza, Extra Large Two Topping Pizza ,$17.99 
3498,NY-Style 1-Topping Pizza, New York Style 1-Topping Pizza ,$15.99 
3498,Family Special, Any large specialty or 5-topping pizza and a large 2-topping pizza ,$29.99 
3498,Stuffed Crust Specialty or up to 5 Topping, Large Stuffed Crust Specialty or up to 5 Topping Pizza only $20.99 ,$20.99 
3498,Cheesy Calzone Epic Stuffed Crust Pizza," We know how to hand stuff our crust with the best flavor combos. Experience calzone flavors like never before, this pizza is made with a blend of mozzarella and garlic herb ricotta stuffed into the crust. Comes with your choice of 1 topping. ",$14.99 
3498,Papa's Double Take, Two Large 2 Topping Pizzas only $12.99 each ,$25.98 
4778,Garlic Epic Stuffed Crust: A pizza inspired by you,"Garlic sauce fans, you inspired us! We transformed your love for our garlic sauce into our pizza. Enjoy a 1-topping Garlic Epic Stuffed Crust pizza with garlicky goodness inside the cheesy crust, drizzled onto it, and served on the side.",$13.99 
4778,Calzone Papa Bites," Indulge in our Calzone Papa Bites. Packed with a blend of mozzarella and garlic herb ricotta, pepperoni, Italian sausage, and green peppers inside our fresh original dough. Served with original pizza sauce on the side for even more calzone flavor. ",$4.99 
4778,Papa Pairings, Craving what you see? Our newest addition to your Papa Pairings possibilities: Wings! Get any of these and more delectable Papa Johns favorites for just $6.99 each when you pair two or more. ,$6.99 
4778,Large 1 Topping Pizza for $9.99  Carryout Only!, Large 1 Topping Pizza for $9.99  Carryout Only! ,$9.99 
4778,Large 1-Topping Pizza," Large 1 Topping Pizza for only 12.99, Delivery Only. ",$12.99 
4778,Carryout Offer - Large 5-topping or specialty, Large Specialty or up to 5 topping pizza ,$14.99 
4778,Epic Stuffed Crust 1-Topping Pizza, Epic Stuff Crust 1-Topping Pizza for ONLY $15.99 ,$15.99 
4778,"Any 10"" Only $10"," Any 10"" original crust specialty or up to 5-topping pizza ONLY $10 ",$10 
4778,Any Large Pizza - Up to 5 Toppings or Specialty, Enjoy your favorite specialty or any 5-topping pizza on our large original or thin crust pizza for only $18.99! ,$18.99 
4778,Small Deal, Small Three Topping Pizza ,$9.99 
4778,Any Medium Specialty Or 5-Topping, Any Medium Specialty or 5-Topping Pizza ,$13.99 
4778, Extra Large 2-topping Pizza, Extra Large Two Topping Pizza ,$17.99 
4778,2 Large 2-Topping Pizzas, Two Large 2 Topping Pizzas ,$25.98 
4778,NY-Style 1-Topping Pizza, New York Style 1-Topping Pizza ,$15.99 
4778,Family Special, Any large specialty or 5-topping pizza and a large 2-topping pizza ,$29.99 
4778,Any Large EPIC STUFFED CRUST, Any large EPIC STUFFED Crust with up to 5 toppings or Specialty pizza ,$20.99 
4778,Cheesy Calzone Epic Stuffed Crust Pizza," We know how to hand stuff our crust with the best flavor combos. Experience calzone flavors like never before, this pizza is made with a blend of mozzarella and garlic herb ricotta stuffed into the crust. Comes with your choice of 1 topping. ",$14.99 
2208,Garlic Epic Stuffed Crust: A pizza inspired by you,"Garlic sauce fans, you inspired us! We transformed your love for our garlic sauce into our pizza. Enjoy a 1-topping Garlic Epic Stuffed Crust pizza with garlicky goodness inside the cheesy crust, drizzled onto it, and served on the side.",$13.99 
2208,Calzone Papa Bites," Indulge in our Calzone Papa Bites. Packed with a blend of mozzarella and garlic herb ricotta, pepperoni, Italian sausage, and green peppers inside our fresh original dough. Served with original pizza sauce on the side for even more calzone flavor. ",$4.99 
2208,Papa Pairings, Craving what you see? Our newest addition to your Papa Pairings possibilities: Wings! Get any of these and more delectable Papa Johns favorites for just $6.99 each when you pair two or more. ,$6.99 
2208,Large 1 Topping Pizza for $9.99  Carryout Only!, Large 1 Topping Pizza for $9.99  Carryout Only! ,$9.99 
2208,Large 1-Topping Pizza," Large 1 Topping Pizza for only 12.99, Delivery Only. ",$12.99 
2208,Epic Stuffed Crust 1-Topping Pizza, Epic Stuff Crust 1-Topping Pizza for ONLY $15.99 ,$15.99 
2208,"Any 10"" Only $10"," Any 10"" original crust specialty or up to 5-topping pizza ONLY $10 ",$10 
2208,Carryout ONLY! Large Specialty Pizza, Large Specialty Pizza $15.99. Carryout ONLY ,$15.99 
2208,Any Large Pizza - Up to 5 Toppings or Specialty, Enjoy your favorite specialty or any 5-topping pizza on our large original or thin crust pizza ,$18.99 
